claim_id,source_entity,relationship,basis_note
CL-0193,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 87 / Case Study #2: Building An “Ideal” Agriculture System
CL-0194,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0195,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0196,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0197,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0198,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0199,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0200,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0201,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0202,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0203,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0204,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0205,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0206,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0207,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0208,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0209,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0210,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0211,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0212,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0213,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0214,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0215,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0216,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0217,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0218,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0219,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0220,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0221,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0222,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0223,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0224,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0225,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0226,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0227,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0228,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0229,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0230,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0231,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0232,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0233,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0234,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0235,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0236,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0237,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0238,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0239,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0240,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0241,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0242,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0243,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0244,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0245,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0246,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0247,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 99 / Appendix C: Detailed By-Facility System Scores
CL-0248,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Station Information / Orbital Station Information
CL-0249,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Station Information / Orbital Station Information
CL-0250,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Station Information / Orbital Station Information
CL-0251,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Station Information / Orbital Station Information
CL-0252,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Outpost Information / Orbital Outpost Information
CL-0253,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Outpost Information / Orbital Outpost Information
CL-0254,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Outpost Information / Orbital Outpost Information
CL-0255,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Outpost Information / Orbital Outpost Information
CL-0256,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Outpost Information / Orbital Outpost Information
CL-0257,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Outpost Information / Orbital Outpost Information
CL-0258,DM-0001,extracted_from,DM-0001 Colonization Construction Details / System Effects by Installation Type / System Effects by Installation Type
CL-0259,DM-0001,extracted_from,DM-0001 Colonization Construction Details / System Effects by Installation Type / System Effects by Installation Type
CL-0260,DM-0001,extracted_from,DM-0001 Colonization Construction Details / System Effects by Installation Type / System Effects by Installation Type
CL-0261,DM-0001,extracted_from,DM-0001 Colonization Construction Details / System Effects by Installation Type / System Effects by Installation Type
CL-0262,DM-0001,extracted_from,DM-0001 Colonization Construction Details / System Effects by Installation Type / System Effects by Installation Type
CL-0263,DM-0001,extracted_from,DM-0001 Colonization Construction Details / System Effects by Installation Type / System Effects by Installation Type
CL-0264,DM-0001,extracted_from,DM-0001 Colonization Construction Details / System Effects by Installation Type / System Effects by Installation Type
CL-0265,DM-0001,extracted_from,DM-0001 Colonization Construction Details / System Effects by Installation Type / System Effects by Installation Type
CL-0266,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0267,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0268,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0269,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0270,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0271,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0272,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0273,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0274,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0275,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Orbital Installation Information / Orbital Installation Information
CL-0276,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Port Information / Surface Port Information
CL-0277,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Port Information / Surface Port Information
CL-0278,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Port Information / Surface Port Information
CL-0279,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Port Information / Surface Port Information
CL-0280,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0281,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0282,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0283,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0284,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0285,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0286,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0287,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0288,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0289,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0290,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0291,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0292,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0293,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0294,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0295,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0296,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0297,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Settlement Information / Surface Settlement Information
CL-0298,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0299,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0300,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0301,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0302,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0303,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0304,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0305,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0306,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Surface Hub Information / Surface Hub Information
CL-0307,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Resource Requirements for Major Materials / Resource Requirements for Major Materials
CL-0308,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Resource Requirements for Major Materials / Resource Requirements for Major Materials
CL-0309,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Resource Requirements for Major Materials / Resource Requirements for Major Materials
CL-0310,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Resource Requirements for Major Materials / Resource Requirements for Major Materials
CL-0311,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Resource Requirements for Major Materials / Resource Requirements for Major Materials
CL-0312,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Resource Requirements for Major Materials / Resource Requirements for Major Materials
CL-0313,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Resource Requirements for Major Materials / Resource Requirements for Major Materials
CL-0314,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Important Construction Notes / Important Construction Notes
CL-0315,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Important Construction Notes / Important Construction Notes
CL-0316,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Important Construction Notes / Important Construction Notes
CL-0317,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Important Construction Notes / Important Construction Notes
CL-0318,DM-0001,extracted_from,DM-0001 Colonization Construction Details / Important Construction Notes / Important Construction Notes
CL-0319,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 1. The one-minute model / 1. The one-minute model
CL-0320,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 1. The one-minute model / 1. The one-minute model
CL-0321,FW-0001,extracted_from,"FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 2. Asset types, main ports, and body influence / 2. Asset types, main ports, and body influence"
CL-0322,FW-0001,extracted_from,"FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 2. Asset types, main ports, and body influence / 2. Asset types, main ports, and body influence"
CL-0323,FW-0001,extracted_from,"FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 2. Asset types, main ports, and body influence / 2. Asset types, main ports, and body influence"
CL-0324,FW-0001,extracted_from,"FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 2. Asset types, main ports, and body influence / 2. Asset types, main ports, and body influence"
CL-0325,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 3. Strong links: how surface and orbital markets connect / 3. Strong links: how surface and orbital markets connect
CL-0326,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 3. Strong links: how surface and orbital markets connect / 3. Strong links: how surface and orbital markets connect
CL-0327,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 3. Strong links: how surface and orbital markets connect / 3. Strong links: how surface and orbital markets connect
CL-0328,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 4. Weak links: cross-body support and its limits / 4. Weak links: cross-body support and its limits
CL-0329,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 4. Weak links: cross-body support and its limits / 4. Weak links: cross-body support and its limits
CL-0330,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 4. Weak links: cross-body support and its limits / 4. Weak links: cross-body support and its limits
CL-0331,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 4. Weak links: cross-body support and its limits / 4. Weak links: cross-body support and its limits
CL-0332,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 6. Adding up strong links / 6. Adding up strong links
CL-0333,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 7. A safe in-game planning workflow / 7. A safe in-game planning workflow
CL-0334,FW-0001,extracted_from,FW-0001 Elite Dangerous Colonisation Strong and Weak Links Illustrated Reference / 7. A safe in-game planning workflow / 7. A safe in-game planning workflow
CL-0335,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0336,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0337,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0338,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0339,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0340,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0341,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0342,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0343,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0344,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
CL-0345,DD-0001,extracted_from,DD-0001 Colonisation Dependency Flowchart / dependency-flowchart-v0 / visual dependency edge
